2021-03-14 12:25:53 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(employee), mappingColumn=employee_name, insertable=true, updatable=true, unique=false}
2021-03-14 12:25:53 DEBUG PropertyBinder:175 - MetadataSourceProcessor property employeeName with lazy=false
2021-03-14 12:25:53 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [dev.bennett.entities.Employee:employeeName]
2021-03-14 12:25:53 DEBUG SimpleValueBinder:410 - building SimpleValue for employeeName
2021-03-14 12:25:53 DEBUG PropertyBinder:266 - Building property employeeName
2021-03-14 12:25:53 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(employee), mappingColumn=job_title, insertable=true, updatable=true, unique=false}
2021-03-14 12:25:53 DEBUG PropertyBinder:175 - MetadataSourceProcessor property jobTitle with lazy=false
2021-03-14 12:25:53 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [dev.bennett.entities.Employee:jobTitle]
2021-03-14 12:25:53 DEBUG SimpleValueBinder:410 - building SimpleValue for jobTitle
2021-03-14 12:25:53 DEBUG PropertyBinder:266 - Building property jobTitle
2021-03-14 12:25:53 DEBUG AnnotationBinder:560 - Binding entity from annotated class: dev.bennett.entities.Expense
2021-03-14 12:25:53 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2021-03-14 12:25:53 DEBUG EntityBinder:430 - Import with entity name Expense
2021-03-14 12:25:53 DEBUG EntityBinder:873 - Bind entity dev.bennett.entities.Expense on table expense
2021-03-14 12:25:53 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(expense), mappingColumn=expense_id, insertable=true, updatable=true, unique=false}
2021-03-14 12:25:53 DEBUG ClassLoaderAccessImpl:60 - Not known whether passed class name [dev.bennett.entities.Expense] is safe
2021-03-14 12:25:53 DEBUG ClassLoaderAccessImpl:62 - No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : dev.bennett.entities.Expense
2021-03-14 12:25:53 DEBUG PropertyBinder:175 - MetadataSourceProcessor property expenseID with lazy=false
2021-03-14 12:25:53 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [dev.bennett.entities.Expense:expenseID]
